name,team,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank
V Kohli,RCB,38.66,131.97,0.161,4.004,0.152,14.557,0.291,51.02,Best
S Dhawan,DC/DCH/MI/PBKS/SRH,35.25,127.14,0.173,4.163,0.131,12.602,0.249,44.817,Good
RG Sharma,DCH/MI,29.72,131.14,0.174,3.488,0.115,10.127,0.187,38.975,Average
DA Warner,DC/SRH,40.52,139.77,0.191,4.886,0.12,13.571,0.38,56.635,Best
SK Raina,CSK/GL,32.51,136.73,0.175,3.545,0.15,11.43,0.205,44.451,Good
MS Dhoni,CSK/RPS,39.12,137.53,0.161,2.686,0.415,9.952,0.105,53.802,Best
CH Gayle,KKR/KXIP/PBKS/RCB,39.72,148.96,0.228,5.397,0.113,8.56,0.305,59.167,Best
RV Uthappa,CSK/KKR/MI/PWI/RCB/RR,27.51,130.35,0.175,3.365,0.086,9.827,0.137,35.859,Average
KD Karthik,DC/GL/KKR/KXIP/MI/RCB,26.31,135.36,0.175,2.679,0.214,8.598,0.094,35.613,Average
KL Rahul,KXIP/LSG/PBKS/RCB/SRH,45.46,134.6,0.169,4.772,0.163,15.943,0.366,61.189,Best
AM Rahane,CSK/DC/KKR/MI/RPS/RR,30.14,123.42,0.154,3.398,0.099,12.351,0.199,37.199,Average
F du Plessis,CSK/RCB/RPS,35.99,136.36,0.175,4.254,0.08,13.703,0.268,49.076,Good
SV Samson,DC/RR,30.68,138.96,0.175,3.423,0.117,10.89,0.19,42.633,Good
AT Rayudu,CSK/MI,28.23,127.54,0.156,2.845,0.176,10.021,0.128,36.005,Average
G Gambhir,DC/KKR,31.0,123.88,0.162,3.625,0.105,12.467,0.237,38.403,Average
SR Watson,CSK/RCB/RR,30.99,137.91,0.201,4.007,0.113,8.752,0.206,42.738,Good
MK Pandey,DC/KKR/LSG/MI/PWI/RCB/SRH,29.16,121.1,0.14,2.799,0.17,11.635,0.151,35.313,Average
SA Yadav,KKR/MI,32.08,145.32,0.208,3.815,0.17,9.437,0.207,46.619,Good
JC Buttler,MI/RR,38.1,147.52,0.213,4.868,0.113,11.283,0.311,56.205,Best
KA Pollard,MI,28.67,147.32,0.19,2.579,0.304,7.029,0.094,42.237,Good
Shubman Gill,GT/KKR,37.83,135.69,0.171,4.05,0.15,14.06,0.28,51.332,Best
YK Pathan,KKR/RR/SRH,29.12,142.97,0.187,2.727,0.286,7.844,0.097,41.633,Average
Q de Kock,DC/LSG/MI/RCB/SRH,31.25,134.22,0.187,4.103,0.056,10.794,0.252,41.944,Average
SS Iyer,DC/KKR,32.23,127.47,0.157,3.339,0.157,11.87,0.183,41.084,Average
WP Saha,CSK/GT/KKR/KXIP/SRH,24.24,127.56,0.167,2.641,0.166,8.469,0.103,30.921,Poor
BB McCullum,CSK/GL/KKR/Kochi/RCB,27.69,131.74,0.194,3.881,0.046,8.514,0.156,36.479,Average
PA Patel,CSK/DCH/Kochi/MI/RCB/SRH,22.6,120.78,0.176,3.022,0.08,7.985,0.095,27.296,Poor
Yuvraj Singh,DC/KXIP/MI/PWI/RCB/SRH,24.77,129.71,0.173,2.905,0.119,7.841,0.103,32.129,Poor
V Sehwag,DC/KXIP,27.55,155.44,0.251,4.231,0.048,7.269,0.192,42.824,Good
MA Agarwal,DC/KXIP/PBKS/RCB/RPS/SRH,22.74,133.05,0.18,2.983,0.033,8.438,0.124,30.256,Poor
Ishan Kishan,GL/MI,28.43,135.86,0.192,3.778,0.061,9.192,0.162,38.625,Average
N Rana,KKR/MI,28.65,135.04,0.188,3.624,0.089,8.99,0.178,38.689,Average
M Vijay,CSK/DC/KXIP,25.93,121.87,0.157,3.189,0.047,10.236,0.16,31.601,Poor
HH Pandya,GT/MI,28.69,145.61,0.187,2.539,0.312,7.445,0.078,41.776,Average
SPD Smith,DC/PWI/RPS/RR,34.51,128.09,0.147,3.065,0.226,13.172,0.14,44.204,Good
AD Russell,DC/KKR,29.22,174.92,0.267,3.61,0.19,5.238,0.105,51.112,Best
SE Marsh,KXIP,39.95,132.74,0.184,4.986,0.101,13.696,0.319,53.03,Best
DR Smith,CSK/DCH/GL/MI,28.39,135.2,0.205,4.067,0.056,7.899,0.191,38.383,Average
RD Gaikwad,CSK,41.75,136.86,0.177,4.738,0.123,14.862,0.338,57.139,Best
