name,team,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
V Kohli,RCB,38.66,131.97,0.161,4.004,0.152,14.557,0.291,51.02,Best,FL,1.176,2.426
S Dhawan,DC/DCH/MI/PBKS/SRH,35.25,127.14,0.173,4.163,0.131,12.602,0.249,44.817,Good,FL,0.876,1.904
RG Sharma,DCH/MI,29.72,131.14,0.174,3.488,0.115,10.127,0.187,38.975,Average,LCB,0.126,0.707
DA Warner,DC/SRH,40.52,139.77,0.191,4.886,0.12,13.571,0.38,56.635,Best,FL,1.677,3.63
SK Raina,CSK/GL,32.51,136.73,0.175,3.545,0.15,11.43,0.205,44.451,Good,LCB,0.365,1.143
MS Dhoni,CSK/RPS,39.12,137.53,0.161,2.686,0.415,9.952,0.105,53.802,Best,F,0.257,-0.345
CH Gayle,KKR/KXIP/PBKS/RCB,39.72,148.96,0.228,5.397,0.113,8.56,0.305,59.167,Best,FL,1.279,3.148
RV Uthappa,CSK/KKR/MI/PWI/RCB/RR,27.51,130.35,0.175,3.365,0.086,9.827,0.137,35.859,Average,LCB,-0.046,0.305
KD Karthik,DC/GL/KKR/KXIP/MI/RCB,26.31,135.36,0.175,2.679,0.214,8.598,0.094,35.613,Average,LCB,-0.202,-0.757
KL Rahul,KXIP/LSG/PBKS/RCB/SRH,45.46,134.6,0.169,4.772,0.163,15.943,0.366,61.189,Best,FL,1.834,3.808
AM Rahane,CSK/DC/KKR/MI/RPS/RR,30.14,123.42,0.154,3.398,0.099,12.351,0.199,37.199,Average,LCB,0.08,0.872
F du Plessis,CSK/RCB/RPS,35.99,136.36,0.175,4.254,0.08,13.703,0.268,49.076,Good,FL,1.037,2.488
SV Samson,DC/RR,30.68,138.96,0.175,3.423,0.117,10.89,0.19,42.633,Good,LCB,0.259,0.941
AT Rayudu,CSK/MI,28.23,127.54,0.156,2.845,0.176,10.021,0.128,36.005,Average,LCB,-0.194,-0.315
G Gambhir,DC/KKR,31.0,123.88,0.162,3.625,0.105,12.467,0.237,38.403,Average,LCB,0.242,1.277
SR Watson,CSK/RCB/RR,30.99,137.91,0.201,4.007,0.113,8.752,0.206,42.738,Good,SB,0.446,1.198
MK Pandey,DC/KKR/LSG/MI/PWI/RCB/SRH,29.16,121.1,0.14,2.799,0.17,11.635,0.151,35.313,Average,LCB,-0.205,-0.113
SA Yadav,KKR/MI,32.08,145.32,0.208,3.815,0.17,9.437,0.207,46.619,Good,SB,0.691,1.247
JC Buttler,MI/RR,38.1,147.52,0.213,4.868,0.113,11.283,0.311,56.205,Best,FL,1.295,3.081
KA Pollard,MI,28.67,147.32,0.19,2.579,0.304,7.029,0.094,42.237,Good,F,-0.122,-0.878
Shubman Gill,GT/KKR,37.83,135.69,0.171,4.05,0.15,14.06,0.28,51.332,Best,FL,1.12,2.388
YK Pathan,KKR/RR/SRH,29.12,142.97,0.187,2.727,0.286,7.844,0.097,41.633,Average,F,-0.079,-0.677
Q de Kock,DC/LSG/MI/RCB/SRH,31.25,134.22,0.187,4.103,0.056,10.794,0.252,41.944,Average,FL,0.68,1.779
SS Iyer,DC/KKR,32.23,127.47,0.157,3.339,0.157,11.87,0.183,41.084,Average,LCB,0.147,0.739
WP Saha,CSK/GT/KKR/KXIP/SRH,24.24,127.56,0.167,2.641,0.166,8.469,0.103,30.921,Poor,LCB,-0.386,-0.886
BB McCullum,CSK/GL/KKR/Kochi/RCB,27.69,131.74,0.194,3.881,0.046,8.514,0.156,36.479,Average,LCB,0.084,0.725
PA Patel,CSK/DCH/Kochi/MI/RCB/SRH,22.6,120.78,0.176,3.022,0.08,7.985,0.095,27.296,Poor,LCB,-0.463,-0.694
Yuvraj Singh,DC/KXIP/MI/PWI/RCB/SRH,24.77,129.71,0.173,2.905,0.119,7.841,0.103,32.129,Poor,LCB,-0.34,-0.623
V Sehwag,DC/KXIP,27.55,155.44,0.251,4.231,0.048,7.269,0.192,42.824,Good,SB,1.232,1.532
MA Agarwal,DC/KXIP/PBKS/RCB/RPS/SRH,22.74,133.05,0.18,2.983,0.033,8.438,0.124,30.256,Poor,LCB,-0.295,-0.212
Ishan Kishan,GL/MI,28.43,135.86,0.192,3.778,0.061,9.192,0.162,38.625,Average,LCB,0.166,0.834
N Rana,KKR/MI,28.65,135.04,0.188,3.624,0.089,8.99,0.178,38.689,Average,LCB,0.14,0.716
M Vijay,CSK/DC/KXIP,25.93,121.87,0.157,3.189,0.047,10.236,0.16,31.601,Poor,LCB,-0.244,0.185
HH Pandya,GT/MI,28.69,145.61,0.187,2.539,0.312,7.445,0.078,41.776,Average,F,-0.16,-0.98
SPD Smith,DC/PWI/RPS/RR,34.51,128.09,0.147,3.065,0.226,13.172,0.14,44.204,Good,LCB,0.15,0.465
AD Russell,DC/KKR,29.22,174.92,0.267,3.61,0.19,5.238,0.105,51.112,Best,SB,1.605,0.585
SE Marsh,KXIP,39.95,132.74,0.184,4.986,0.101,13.696,0.319,53.03,Best,FL,1.457,3.285
DR Smith,CSK/DCH/GL/MI,28.39,135.2,0.205,4.067,0.056,7.899,0.191,38.383,Average,SB,0.37,1.029
RD Gaikwad,CSK,41.75,136.86,0.177,4.738,0.123,14.862,0.338,57.139,Best,FL,1.586,3.469
SR Tendulkar,MI,34.83,119.81,0.166,4.154,0.141,12.564,0.192,41.73,Average,LCB,0.366,1.434
RA Tripathi,KKR/RPS/RR/SRH,27.26,139.31,0.191,3.301,0.118,9.032,0.129,37.976,Average,LCB,0.058,0.233
R Dravid,RCB/RR,28.23,115.51,0.157,3.61,0.061,11.39,0.134,32.608,Poor,LCB,-0.143,0.44
KS Williamson,GT/SRH,35.46,125.61,0.147,3.234,0.221,13.039,0.234,44.541,Good,LCB,0.295,1.033
AJ Finch,DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH,25.19,128.2,0.179,3.244,0.078,8.522,0.167,32.294,Poor,LCB,-0.155,0.102
AC Gilchrist,DCH/KXIP,27.22,138.39,0.221,4.138,0.05,7.012,0.188,37.67,Average,SB,0.581,1.016
JP Duminy,DC/DCH/MI,39.78,124.02,0.125,2.662,0.338,13.649,0.182,49.335,Good,LCB,0.175,0.376
MEK Hussey,CSK/MI,38.76,122.64,0.155,4.31,0.121,15.052,0.293,47.535,Good,FL,1.238,2.59
